J',nu1',nu2',nu3',Energy
0,2,3,1,-4.40468460112186
0,2,3,2,11.9554116343819
0,2,3,3,8.49394481544765
0,2,3,4,3.63447362423945
0,2,3,5,6.17744364104841
0,2,3,6,-3.57220401436829
0,2,3,7,-0.556804846112496
0,2,3,8,-0.004250400350798773
0,2,3,9,0.00221941266233517
0,2,3,10,0.00171275554934868
0,0,6,0,1.13825742637917
0,0,6,1,7.53176646035918
0,0,6,2,-15.3060077710168
0,0,6,3,-15.3504329700668
0,0,6,4,-3.66784622993408
0,0,6,5,-11.1517734709979
0,0,6,6,5.0422727581254
0,0,6,7,0.871879825858589
0,0,6,8,0.01483071955270998
0,0,6,0,-2.3625078961929
0,0,6,1,-13.9720464394086
0,0,6,2,33.8500656750904
0,0,6,3,27.5399195891202
0,0,6,4,9.58692370681111
0,0,6,5,20.0605023380185
0,0,6,6,-10.4750198470656
0,0,6,7,-1.67436149641492
0,0,6,8,-0.01107631148656447
0,4,2,0,-0.795118480531305
0,4,2,1,-3.50442399624109
0,4,2,2,7.66715924377367
0,4,2,3,6.9643964426298
0,4,2,4,1.05109843376819
0,4,2,5,5.08568639381144
0,4,2,6,-3.53738998445697
0,4,2,7,-0.454715186101533
0,4,2,8,0.008557006848383978
0,6,1,0,0.816178461723319
0,6,1,1,4.39321273521733
0,6,1,2,-10.0538752014892
0,6,1,3,-8.87247787692523
0,6,1,4,-2.98062643909328
0,6,1,5,-6.53360568873575
0,6,1,6,3.62501127558656
0,0,7,0,1.45310321421064
0,0,7,1,7.10386805679611
0,0,7,2,-16.104428995365
0,0,7,3,-14.1730991804368
0,0,7,4,-2.88728796178156
0,0,7,5,-10.2760531221234
0,0,7,6,6.46107073931992
0,1,6,0,-0.641871458572778
0,1,6,1,-2.61647562866921
0,1,6,2,4.27606162241557
0,1,6,3,5.26044252063245
0,1,6,4,-2.31502368671467
0,1,6,5,3.56229672262684
0,1,6,6,-2.86631609114738
0,7,1,0,-0.663810968879217
0,7,1,1,-2.99498633719313
0,7,1,2,6.79058723030202
0,7,1,3,6.03270176868846
0,7,1,4,1.53145349050499
0,4,3,0,0.006201387761976303
0,4,3,1,0.125685148421629
0,4,3,2,-0.544593138850407
0,4,3,3,-0.182551133435786
0,4,3,4,0.182655110704461
0,4,3,5,-0.05093168721528707
0,4,3,6,0.03662535915738856
0,0,8,0,-1.17116100766384
0,0,8,1,-4.71618798893527
0,0,8,2,7.90433016491857
0,0,8,3,9.59252491960642
0,0,8,4,-1.97410534449474
0,1,7,0,-0.338516111992646
0,1,7,1,-0.883317873430612
0,1,7,2,-2.56040606409348
0,1,7,3,1.9928263374992
0,1,7,4,-6.43987651670056
0,3,5,0,0.200780895710085
0,3,5,1,0.865999979161055
0,3,5,2,-1.02620427202493
0,3,5,3,-1.76349586385188
0,3,5,4,0.897087311888617
0,0,1,0,1.46088504663479
0,0,1,1,-7.63837328226511
0,0,1,2,-66.9322952419151
0,0,1,3,132.071541151039
0,0,1,4,11492.0804621081
0,0,1,5,159.414557551083
0,0,1,6,-94.4829677662892
0,0,1,7,16.8044941219071
0,0,1,8,13.2594564191793
0,0,1,9,1.69517062693352
0,0,1,10,0.363462946704928
0,0,1,11,-0.0763560529180034
0,0,1,12,0.002296271970575006
0,0,1,13,0.003658822761926635
0,0,1,14,-3.300026705377605e-05
0,0,1,15,-0.0001504258268083851
